transaction_id,customer_id,amount,currency,failure_reason,is_hard_fail,first_failure_timestamp,payment_method,is_recurring,merchant_category
txn_e30ffb5e32,cust_398c7234b4,709.32,INR,issuer_declined,False,2024-03-05 18:43:07,card,False,saas
txn_b04417dfdc,cust_408feea307,2781.57,INR,insufficient_funds,False,2024-03-14 10:39:20,netbanking,False,ecommerce_one_time
txn_631f946859,cust_84370e49e0,6012.02,INR,processing_error,False,2024-03-03 00:22:49,card,True,d2c_subscription
txn_2724182301,cust_e8118e67af,377.62,INR,do_not_honor,False,2024-03-01 19:27:15,upi,False,ecommerce_one_time
txn_08189e84b1,cust_7d227df640,51.92,INR,insufficient_funds,False,2024-03-11 01:30:14,upi,True,saas
txn_a55ad94e66,cust_c291ec6d06,5241.64,INR,do_not_honor,False,2024-03-08 16:38:13,upi,True,saas
txn_585b283d71,cust_995177b128,581.68,INR,network_timeout,False,2024-03-06 19:05:39,upi,True,saas
txn_455ae6252b,cust_f5ce731952,3063.62,INR,network_timeout,False,2024-03-07 05:50:20,netbanking,True,d2c_subscription
txn_6f8b1b28db,cust_59e43e2f4d,383.37,INR,do_not_honor,False,2024-03-15 02:59:51,card,False,ecommerce_one_time
txn_027e3eba49,cust_c6de4e197a,1013.79,INR,issuer_declined,False,2024-03-01 18:59:13,card,True,d2c_subscription
txn_d93ef1576a,cust_632d1a7255,1107.91,INR,insufficient_funds,False,2024-03-02 09:48:43,upi,False,saas
txn_edce775195,cust_0057f8a858,3286.47,INR,network_timeout,False,2024-03-08 16:27:18,card,True,saas
txn_c4c19fd38a,cust_fc26ba465d,229.43,INR,processing_error,False,2024-03-07 17:41:26,upi,True,saas
txn_b13ddb4f31,cust_57acd8f86e,294.98,INR,do_not_honor,False,2024-03-13 02:53:30,upi,False,d2c_subscription
txn_ae996d9f75,cust_896dfa0c7a,757.75,INR,network_timeout,False,2024-03-05 00:32:34,card,True,d2c_subscription
txn_7af5c4008a,cust_7720b002c5,1007.29,INR,insufficient_funds,False,2024-03-08 07:06:47,upi,True,saas
txn_0dcd17f70f,cust_00f80789cd,1115.29,INR,processing_error,False,2024-03-11 12:38:17,card,False,d2c_subscription
txn_5748fa30d4,cust_97d95a6bea,570.17,INR,insufficient_funds,False,2024-03-11 04:48:34,netbanking,True,d2c_subscription
txn_d06d4406c5,cust_560afec802,1089.5,INR,insufficient_funds,False,2024-03-14 08:27:48,card,True,saas
txn_1e81037a8f,cust_4dcdad61cd,326.71,INR,issuer_declined,False,2024-03-04 10:56:21,upi,True,d2c_subscription
txn_6602f05d39,cust_1438a24939,823.37,INR,issuer_declined,False,2024-03-14 14:53:31,netbanking,True,d2c_subscription
txn_7bdda81e9a,cust_5f1485efa5,172.17,INR,card_expired,True,2024-03-07 14:40:14,card,False,d2c_subscription
txn_c40991a5f6,cust_ebb75e3130,737.68,INR,issuer_declined,False,2024-03-04 02:16:27,card,True,saas
txn_153d367283,cust_f6632cce44,416.28,INR,network_timeout,False,2024-03-14 18:24:22,card,False,saas
txn_e9b2ce77a6,cust_246897ffd4,2000.4,INR,processing_error,False,2024-03-13 08:56:47,upi,True,ecommerce_one_time
txn_81c6391770,cust_a6329270db,361.83,INR,processing_error,False,2024-03-04 19:50:21,card,False,saas
txn_d10be896e0,cust_5d17fb3fb8,594.59,INR,card_expired,True,2024-03-03 23:08:08,card,True,ecommerce_one_time
txn_ddedb39103,cust_9b0fd22a6f,3097.29,INR,issuer_declined,False,2024-03-14 08:43:04,netbanking,False,d2c_subscription
txn_9b820785f9,cust_41161ed66b,290.77,INR,issuer_declined,False,2024-03-11 18:52:15,card,True,d2c_subscription
txn_8ef7e74e2c,cust_d2b8c09894,74.05,INR,insufficient_funds,False,2024-03-07 00:16:05,card,False,ecommerce_one_time
txn_30e543b2f5,cust_2b7d8be0c7,1318.52,INR,insufficient_funds,False,2024-03-07 22:07:58,upi,False,saas
txn_1525330e04,cust_08955f6b7a,404.74,INR,network_timeout,False,2024-03-08 06:22:34,card,True,saas
txn_7ac528c85b,cust_e26dfac9a2,615.86,INR,issuer_declined,False,2024-03-11 19:59:46,card,True,saas
txn_1098ec8f91,cust_32a26d2ab9,995.36,INR,issuer_declined,False,2024-03-07 22:54:06,netbanking,True,d2c_subscription
txn_8824e367a9,cust_2d418afd1f,484.54,INR,insufficient_funds,False,2024-03-14 19:10:19,upi,True,d2c_subscription
txn_84393cbda2,cust_826d36d52a,975.16,INR,do_not_honor,False,2024-03-03 06:46:27,card,False,ecommerce_one_time
txn_a13e27c29d,cust_67eeaad87d,1054.38,INR,processing_error,False,2024-03-07 21:47:40,upi,True,d2c_subscription
txn_687fd5b94d,cust_ca9cda794b,193.02,INR,issuer_declined,False,2024-03-10 06:46:41,card,False,d2c_subscription
txn_60e368645f,cust_93a74129ce,3635.35,INR,processing_error,False,2024-03-10 08:38:52,card,False,saas
txn_6d913c524d,cust_75839729b4,1050.33,INR,do_not_honor,False,2024-03-10 07:42:03,upi,True,saas
txn_dd9354df96,cust_34c1fdef31,4255.29,INR,network_timeout,False,2024-03-09 09:48:11,card,True,ecommerce_one_time
txn_fd6db700c9,cust_ef239b6ce3,1170.14,INR,insufficient_funds,False,2024-03-12 19:13:43,card,True,saas
txn_a0461bbc92,cust_8d60ef06f7,11027.15,INR,processing_error,False,2024-03-07 01:52:35,netbanking,False,ecommerce_one_time
txn_9f4febb2b6,cust_75839729b4,314.92,INR,insufficient_funds,False,2024-03-12 22:16:20,card,False,saas
txn_dbb7971e9f,cust_46600d490f,256.83,INR,issuer_declined,False,2024-03-11 02:36:37,card,True,d2c_subscription
txn_2f4e3be138,cust_67eeaad87d,691.34,INR,processing_error,False,2024-03-03 07:24:00,card,True,saas
txn_c41bda7aee,cust_11cf4389b6,1811.37,INR,processing_error,False,2024-03-07 14:33:41,upi,False,ecommerce_one_time
